level,structure_id,llm_assignments,query_type,cost,energy,latency,qoa,input_cost,input_latency,input_energy,output_cost,output_latency,output_energy,average_output_tokens
1,0,"(0,)",Art,4.078e-06,14.3851576,22.1416472,0.3809266448020935,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,6.517787
1,0,"(0,)",Geography,3.882e-06,13.477423666666667,20.744462333333335,0.6245160202185313,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,8.064074
1,0,"(0,)",History,3.7938e-06,13.6679785,21.0377645,0.5718491584062576,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,6.678085
1,0,"(0,)",Music,3.6062000000000003e-06,12.971587199999998,19.9658784,0.42359410896897315,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,6.352426
1,0,"(0,)",Other,3.6952000000000002e-06,13.273010300000001,20.4298291,0.3567276999354362,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,7.421234
1,0,"(0,)",Politics,3.941e-06,14.156491800000001,21.7896846,0.4604456380009651,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,8.089234
1,0,"(0,)",Science and technology,4.0734e-06,14.55146,22.39762,0.44550796747207644,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,6.939447
1,0,"(0,)",Sports,4.0172e-06,14.333188100000001,22.0616557,0.3988244011998176,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,8.896979
1,0,"(0,)",TV shows,3.6495999999999998e-06,13.200253,20.317840999999998,0.5423840522766114,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,7.285392
1,0,"(0,)",Video games,3.9446e-06,13.8030992,21.2457424,0.3643632128834724,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,8.155149
1,0,"(0,)",biology_mmlu,8.335799999999999e-06,27.9803788,43.0674236,0.8395025610923768,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,33.338553
1,0,"(0,)",business_mmlu,8.6256e-06,23.4486384,36.09216479999999,0.6299231380224228,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,45.934
1,0,"(0,)",chemistry_mmlu,1.3265142857142856e-05,36.36380157142857,55.97119528571428,0.6315434660230365,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,63.100486
1,0,"(0,)",computer science_mmlu,8.5826e-06,28.2402263,43.4673811,0.8209844350814819,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,41.072366
1,0,"(0,)",health_mmlu,7.2276e-06,25.1116624,38.6518928,0.6433739781379699,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,19.795234
1,0,"(0,)",history_mmlu,6.919799999999999e-06,24.3840894,37.5320118,0.7511158943176269,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,19.446383
1,0,"(0,)",other_mmlu,8.2142e-06,23.5525774,36.2521478,0.7015748888254165,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,43.808043
1,0,"(0,)",philosophy_mmlu,4.6204e-06,15.8195158,24.3494126,0.5758853375911712,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,16.052809
1,0,"(0,)",physics_mmlu,9.654e-06,27.77769775,42.75545674999999,0.6672193147242069,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,47.345897
1,0,"(0,)",psychology_mmlu,4.9033999999999995e-06,17.149935,26.397195,0.7787890493869781,2.8e-08,0.159983,0.103939,5.4e-08,0.159983,0.103939,20.92
1,0,"(1,)",Art,7.359e-06,14.118576000000001,20.07,0.4026243560016155,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,6.517787
1,0,"(1,)",Geography,6.801666666666666e-06,13.049306666666666,18.55,0.3147747814655304,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,8.064074
1,0,"(1,)",History,7.161e-06,13.738704000000002,19.53,0.6067973330616951,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,6.678085
1,0,"(1,)",Music,6.8145000000000006e-06,13.073928,18.585,0.46357704401016236,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,6.352426
1,0,"(1,)",Other,6.9355e-06,13.306072,18.915,0.2874645505100488,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,7.421234
1,0,"(1,)",Politics,7.4965e-06,14.382375999999999,20.445,0.48669822290539744,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,8.089234
1,0,"(1,)",Science and technology,7.562500000000001e-06,14.509,20.625,0.460134944319725,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,6.939447
1,0,"(1,)",Sports,7.491e-06,14.371824,20.43,0.3664870962500572,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,8.896979
1,0,"(1,)",TV shows,6.9300000000000006e-06,13.29552,18.9,0.5324763000011444,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,7.285392
1,0,"(1,)",Video games,7.084e-06,13.590976000000001,19.32,0.3473148442804813,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,8.155149
1,0,"(1,)",biology_mmlu,1.4322e-05,27.477408000000004,39.06,0.7365622088313103,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,33.338553
1,0,"(1,)",business_mmlu,7.931e-06,15.215984,21.630000000000003,0.7613033413887024,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,45.934
1,0,"(1,)",chemistry_mmlu,1.2414285714285715e-05,23.817371428571427,33.857142857142854,0.6046619968754905,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,63.100486
1,0,"(1,)",computer science_mmlu,1.3772e-05,26.422208,37.56,0.6580902710556984,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,41.072366
1,0,"(1,)",health_mmlu,1.3035e-05,25.00824,35.55,0.8374431550502777,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,19.795234
1,0,"(1,)",history_mmlu,1.2864500000000002e-05,24.681128,35.085,0.6252845317125321,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,19.446383
1,0,"(1,)",other_mmlu,9.097000000000001e-06,17.453008,24.81,0.739410126209259,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,43.808043
1,0,"(1,)",philosophy_mmlu,8.217000000000001e-06,15.764688000000001,22.41,0.7309239327907562,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,16.052809
1,0,"(1,)",physics_mmlu,1.060125e-05,20.33898,28.9125,0.5946611985564232,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,47.345897
1,0,"(1,)",psychology_mmlu,9.086e-06,17.431904,24.78,0.7920140743255615,5.5e-08,0.15,0.10552,5.5e-08,0.15,0.10552,20.92
1,0,"(2,)",Art,9.684e-06,14.38,19.1732854,0.4906509846448898,6e-08,0.133,0.1,1.4e-07,0.133,0.1,6.517787
1,0,"(2,)",Geography,9.72e-06,13.799999999999999,18.399954000000005,0.328529750307401,6e-08,0.133,0.1,1.4e-07,0.133,0.1,8.064074
1,0,"(2,)",History,9.956000000000001e-06,14.38,19.1732854,0.37127896100282665,6e-08,0.133,0.1,1.4e-07,0.133,0.1,6.678085
1,0,"(2,)",Music,9.26e-06,13.5,17.999955,0.408376669883728,6e-08,0.133,0.1,1.4e-07,0.133,0.1,6.352426
1,0,"(2,)",Other,9.261999999999999e-06,13.65,18.1999545,0.23814179673790928,6e-08,0.133,0.1,1.4e-07,0.133,0.1,7.421234
1,0,"(2,)",Politics,1.0104e-05,14.719999999999999,19.6266176,0.430489909555763,6e-08,0.133,0.1,1.4e-07,0.133,0.1,8.089234
1,0,"(2,)",Science and technology,1.0132e-05,14.9,19.866616999999998,0.2830293789505959,6e-08,0.133,0.1,1.4e-07,0.133,0.1,6.939447
1,0,"(2,)",Sports,9.468e-06,14.3,19.066619,0.32313589900732037,6e-08,0.133,0.1,1.4e-07,0.133,0.1,8.896979
1,0,"(2,)",TV shows,1.0064e-05,14.24,18.9866192,0.46424831748008727,6e-08,0.133,0.1,1.4e-07,0.133,0.1,7.285392
1,0,"(2,)",Video games,1.0204e-05,14.38,19.1732854,0.25760590434074404,6e-08,0.133,0.1,1.4e-07,0.133,0.1,8.155149
1,0,"(2,)",biology_mmlu,2.0316e-05,28.140000000000004,37.5199062,0.8339532881975174,6e-08,0.133,0.1,1.4e-07,0.133,0.1,33.338553
1,0,"(2,)",business_mmlu,1.7266e-05,20.15,26.8665995,0.8483184218406677,6e-08,0.133,0.1,1.4e-07,0.133,0.1,45.934
1,0,"(2,)",chemistry_mmlu,2.7705714285714286e-05,32.15714285714286,42.87608328571429,0.714032381772995,6e-08,0.133,0.1,1.4e-07,0.133,0.1,63.100486
1,0,"(2,)",computer science_mmlu,2.8850000000000003e-05,33.989999999999995,45.3198867,0.8345979750156403,6e-08,0.133,0.1,1.4e-07,0.133,0.1,41.072366
1,0,"(2,)",health_mmlu,1.7138e-05,25.03,33.373249900000005,0.887923789024353,6e-08,0.133,0.1,1.4e-07,0.133,0.1,19.795234
1,0,"(2,)",history_mmlu,1.7102e-05,24.85,33.1332505,0.6823949038982391,6e-08,0.133,0.1,1.4e-07,0.133,0.1,19.446383
1,0,"(2,)",other_mmlu,1.8605999999999998e-05,22.130000000000003,29.506592899999998,0.9232375741004943,6e-08,0.133,0.1,1.4e-07,0.133,0.1,43.808043
1,0,"(2,)",philosophy_mmlu,1.4296e-05,18.119999999999997,24.1599396,0.7980362981557846,6e-08,0.133,0.1,1.4e-07,0.133,0.1,16.052809
1,0,"(2,)",physics_mmlu,1.421e-05,20.650000000000002,27.5332645,0.662324070930481,6e-08,0.133,0.1,1.4e-07,0.133,0.1,47.345897
1,0,"(2,)",psychology_mmlu,1.2046e-05,17.410000000000004,23.2132753,0.8904587149620056,6e-08,0.133,0.1,1.4e-07,0.133,0.1,20.92
1,0,"(3,)",Art,8.819999999999999e-06,9.0165486,12.911264400000002,0.4763900198042393,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,6.517787
1,0,"(3,)",Geography,1.0719999999999999e-05,9.014317333333333,12.908069333333335,0.36067654689153034,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,8.064074
1,0,"(3,)",History,8.544e-06,8.768877999999999,12.556612000000001,0.5245547086000443,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,6.678085
1,0,"(3,)",Music,9.125999999999999e-06,8.5948392,12.307396800000001,0.45834688395261763,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,6.352426
1,0,"(3,)",Other,8.513999999999998e-06,8.5546764,12.2498856,0.36835418492555616,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,7.421234
1,0,"(3,)",Politics,9.149999999999999e-06,9.1437308,13.0933832,0.5135868191719055,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,8.089234
1,0,"(3,)",Science and technology,9.053999999999998e-06,9.2575254,13.256331600000001,0.49449560344219207,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,6.939447
1,0,"(3,)",Sports,9.785999999999999e-06,9.351238599999999,13.3905244,0.36134611666202543,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,8.896979
1,0,"(3,)",TV shows,8.22e-06,8.487738400000001,12.154033600000002,0.6060403883457184,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,7.285392
1,0,"(3,)",Video games,8.886e-06,8.7086338,12.4703452,0.5813367515802383,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,8.155149
1,0,"(3,)",biology_mmlu,2.043e-05,17.671632,25.304928,0.8946886003017426,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,33.338553
1,0,"(3,)",business_mmlu,1.0127999999999999e-05,9.6926224,13.8793696,0.79641273021698,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,45.934
1,0,"(3,)",chemistry_mmlu,1.6105714285714285e-05,15.357489714285716,21.99118742857143,0.7372123854500907,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,63.100486
1,0,"(3,)",computer science_mmlu,1.9235999999999997e-05,17.1227404,24.518941599999998,0.8713959097862244,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,41.072366
1,0,"(3,)",health_mmlu,1.662e-05,15.870999799999998,22.726509200000002,0.836908546090126,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,19.795234
1,0,"(3,)",history_mmlu,1.9002e-05,16.39981,23.48374,0.8696298778057099,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,19.446383
1,0,"(3,)",other_mmlu,1.2665999999999999e-05,11.2991344,16.1798176,0.9214723408222198,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,43.808043
1,0,"(3,)",philosophy_mmlu,1.1424000000000001e-05,10.134413200000001,14.511992800000002,0.8662476718425751,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,16.052809
1,0,"(3,)",physics_mmlu,1.3965e-05,13.119848,18.786992,0.6165839731693268,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,47.345897
1,0,"(3,)",psychology_mmlu,1.1934e-05,11.0648514,15.844335599999999,0.9034036934375763,6e-08,0.09582,0.067,2.4e-07,0.09582,0.067,20.92
1,0,"(4,)",Art,1.2329999999999999e-05,11.1967086,8.040593,0.52392847687006,9e-08,0.06,0.083,1.6e-07,0.06,0.083,6.517787
1,0,"(4,)",Geography,1.1760000000000001e-05,10.512558,7.54929,0.4095109651486079,9e-08,0.06,0.083,1.6e-07,0.06,0.083,8.064074
1,0,"(4,)",History,1.204e-05,10.9213797,7.8428735000000005,0.46439243853092194,9e-08,0.06,0.083,1.6e-07,0.06,0.083,6.678085
1,0,"(4,)",Music,1.1357e-05,10.3206621,7.4114855,0.4612290024757385,9e-08,0.06,0.083,1.6e-07,0.06,0.083,6.352426
1,0,"(4,)",Other,1.1863e-05,10.679424000000001,7.669120000000001,0.3555575951933861,9e-08,0.06,0.083,1.6e-07,0.06,0.083,7.421234
1,0,"(4,)",Politics,1.2745e-05,11.4386643,8.214346500000001,0.52287080809474,9e-08,0.06,0.083,1.6e-07,0.06,0.083,8.089234
1,0,"(4,)",Science and technology,1.2773e-05,11.5554705,8.2982275,0.44460735023021697,9e-08,0.06,0.083,1.6e-07,0.06,0.083,6.939447
1,0,"(4,)",Sports,1.2783e-05,11.480380799999999,8.244304,0.41910392642021177,9e-08,0.06,0.083,1.6e-07,0.06,0.083,8.896979
1,0,"(4,)",TV shows,1.1682e-05,10.595991000000001,7.609205,0.6727710008621216,9e-08,0.06,0.083,1.6e-07,0.06,0.083,7.285392
1,0,"(4,)",Video games,1.1904999999999999e-05,10.7378271,7.7110605,0.4877739816904068,9e-08,0.06,0.083,1.6e-07,0.06,0.083,8.155149
1,0,"(4,)",biology_mmlu,2.5593000000000004e-05,22.0513419,15.8355345,0.8556698262691498,9e-08,0.06,0.083,1.6e-07,0.06,0.083,33.338553
1,0,"(4,)",business_mmlu,1.3559999999999999e-05,12.064411799999998,8.663709,0.8156821310520173,9e-08,0.06,0.083,1.6e-07,0.06,0.083,45.934
1,0,"(4,)",chemistry_mmlu,2.126142857142857e-05,18.986967,13.634942142857144,0.7321029646056039,9e-08,0.06,0.083,1.6e-07,0.06,0.083,63.100486
1,0,"(4,)",computer science_mmlu,2.4566e-05,21.358848000000002,15.338240000000003,0.8780018210411071,9e-08,0.06,0.083,1.6e-07,0.06,0.083,41.072366
1,0,"(4,)",health_mmlu,2.2158e-05,19.7235612,14.163906,0.828072452545166,9e-08,0.06,0.083,1.6e-07,0.06,0.083,19.795234
1,0,"(4,)",history_mmlu,2.2059e-05,19.5733818,14.056059000000001,0.8141716003417969,9e-08,0.06,0.083,1.6e-07,0.06,0.083,19.446383
1,0,"(4,)",other_mmlu,1.6243e-05,14.116863599999999,10.137618,0.926742571592331,9e-08,0.06,0.083,1.6e-07,0.06,0.083,43.808043
1,0,"(4,)",philosophy_mmlu,1.4760000000000001e-05,12.7485624,9.155012000000001,0.6091654121875762,9e-08,0.06,0.083,1.6e-07,0.06,0.083,16.052809
1,0,"(4,)",physics_mmlu,1.89375e-05,16.58230875,11.90810625,0.6390483528375626,9e-08,0.06,0.083,1.6e-07,0.06,0.083,47.345897
1,0,"(4,)",psychology_mmlu,1.5612999999999998e-05,13.766445,9.885975,0.942040741443634,9e-08,0.06,0.083,1.6e-07,0.06,0.083,20.92
1,0,"(5,)",Art,1.2329999999999999e-05,11.1967086,8.040593,0.52392847687006,9e-08,0.06,0.083,1.6e-07,0.06,0.083,6.517787
1,0,"(5,)",Geography,1.1760000000000001e-05,10.512558,7.54929,0.4095109651486079,9e-08,0.06,0.083,1.6e-07,0.06,0.083,8.064074
1,0,"(5,)",History,1.204e-05,10.9213797,7.8428735000000005,0.46439243853092194,9e-08,0.06,0.083,1.6e-07,0.06,0.083,6.678085
1,0,"(5,)",Music,1.1357e-05,10.3206621,7.4114855,0.4612290024757385,9e-08,0.06,0.083,1.6e-07,0.06,0.083,6.352426
1,0,"(5,)",Other,1.1863e-05,10.679424000000001,7.669120000000001,0.3555575951933861,9e-08,0.06,0.083,1.6e-07,0.06,0.083,7.421234
1,0,"(5,)",Politics,1.2745e-05,11.4386643,8.214346500000001,0.52287080809474,9e-08,0.06,0.083,1.6e-07,0.06,0.083,8.089234
1,0,"(5,)",Science and technology,1.2773e-05,11.5554705,8.2982275,0.44460735023021697,9e-08,0.06,0.083,1.6e-07,0.06,0.083,6.939447
1,0,"(5,)",Sports,1.2783e-05,11.480380799999999,8.244304,0.41910392642021177,9e-08,0.06,0.083,1.6e-07,0.06,0.083,8.896979
1,0,"(5,)",TV shows,1.1682e-05,10.595991000000001,7.609205,0.6727710008621216,9e-08,0.06,0.083,1.6e-07,0.06,0.083,7.285392
1,0,"(5,)",Video games,1.1904999999999999e-05,10.7378271,7.7110605,0.4877739816904068,9e-08,0.06,0.083,1.6e-07,0.06,0.083,8.155149
1,0,"(5,)",biology_mmlu,2.5593000000000004e-05,22.0513419,15.8355345,0.8556698262691498,9e-08,0.06,0.083,1.6e-07,0.06,0.083,33.338553
1,0,"(5,)",business_mmlu,1.3559999999999999e-05,12.064411799999998,8.663709,0.8156821310520173,9e-08,0.06,0.083,1.6e-07,0.06,0.083,45.934
1,0,"(5,)",chemistry_mmlu,2.126142857142857e-05,18.986967,13.634942142857144,0.7321029646056039,9e-08,0.06,0.083,1.6e-07,0.06,0.083,63.100486
1,0,"(5,)",computer science_mmlu,2.4566e-05,21.358848000000002,15.338240000000003,0.8780018210411071,9e-08,0.06,0.083,1.6e-07,0.06,0.083,41.072366
1,0,"(5,)",health_mmlu,2.2158e-05,19.7235612,14.163906,0.828072452545166,9e-08,0.06,0.083,1.6e-07,0.06,0.083,19.795234
1,0,"(5,)",history_mmlu,2.2059e-05,19.5733818,14.056059000000001,0.8141716003417969,9e-08,0.06,0.083,1.6e-07,0.06,0.083,19.446383
1,0,"(5,)",other_mmlu,1.6243e-05,14.116863599999999,10.137618,0.926742571592331,9e-08,0.06,0.083,1.6e-07,0.06,0.083,43.808043
1,0,"(5,)",philosophy_mmlu,1.4760000000000001e-05,12.7485624,9.155012000000001,0.6091654121875762,9e-08,0.06,0.083,1.6e-07,0.06,0.083,16.052809
1,0,"(5,)",physics_mmlu,1.89375e-05,16.58230875,11.90810625,0.6390483528375626,9e-08,0.06,0.083,1.6e-07,0.06,0.083,47.345897
1,0,"(5,)",psychology_mmlu,1.5612999999999998e-05,13.766445,9.885975,0.942040741443634,9e-08,0.06,0.083,1.6e-07,0.06,0.083,20.92
